image_id,height_pixels,Z2
289.jpg,388.7025146484375,17.74
290.jpg,386.6875610351562,17.83
291.jpg,382.7418823242188,18.01
292.jpg,381.8602905273438,18.06
293.jpg,379.3997192382812,18.17
294.jpg,380.2645874023438,18.13
295.jpg,380.6668090820312,18.11
296.jpg,377.4813842773438,18.26
297.jpg,379.1916504,18.18
298.jpg,375.6803588867188,18.35
299.jpg,372.3612060546875,18.52
300.jpg,365.5368041992188,18.86
301.jpg,363.6361694335938,18.96
302.jpg,355.8459473,19.38
303.jpg,353.8833618164062,19.48
304.jpg,354.4132080078125,19.45
305.jpg,353.1407470703125,19.52
306.jpg,356.2932129,19.35
307.jpg,354.5263672,19.45
308.jpg,351.9075317382812,19.59
309.jpg,351.9192504882812,19.59
310.jpg,357.7712402,19.27
311.jpg,355.0214233398438,19.42
312.jpg,354.4410400390625,19.45
313.jpg,357.7276000976562,19.27
314.jpg,357.5325927734375,19.28
315.jpg,358.4866943359375,19.23
316.jpg,357.8040771484375,19.27
317.jpg,357.0761108398438,19.31
318.jpg,358.3949584960938,19.24
319.jpg,358.4194946289062,19.24
320.jpg,362.2674560546875,19.03
321.jpg,356.9157104492188,19.32
322.jpg,358.0146484,19.26
323.jpg,359.4649658203125,19.18
324.jpg,362.1891479492188,19.04
325.jpg,362.3230590820312,19.03
326.jpg,360.1270751953125,19.14
327.jpg,357.0303955078125,19.31
328.jpg,358.7000122070312,19.22
329.jpg,354.5036621,19.45
330.jpg,361.6329345703125,19.07
