Timestamp,BodyID,Joint_,Position_x_,Position_y_,Position_z_
0.0,0,0,0.0,0.0,0.0
0.0,0,22,-411.0,-40.0,3.0
0.0,0,23,-290.0,500.0,1075.0
0.0,0,25,-227.0,1323.0,1986.0
0.0,0,18,394.0,89.0,4.0
0.0,0,19,300.0,569.0,1082.0
0.0,0,21,221.0,1402.0,1990.0
0.0,0,1,10.0,-171.0,-716.0
0.0,0,2,21.0,-381.0,-1442.0
0.0,0,3,-3.0,-663.0,-1972.0
0.0,0,26,6.0,-438.0,-2096.0
0.0,0,5,572.0,-207.0,-1411.0
0.0,0,6,772.0,327.0,-692.0
0.0,0,7,738.0,323.0,-48.0
0.0,0,12,-545.0,-343.0,-1429.0
0.0,0,13,-707.0,148.0,-702.0
0.0,0,14,-678.0,213.0,-54.0
0.00833988469601677,0,0,0.0,0.0,0.0
0.00833988469601677,0,22,-411.0,-37.0,2.0
0.00833988469601677,0,23,-291.0,502.0,1074.0
0.00833988469601677,0,25,-227.0,1326.0,1985.0
0.00833988469601677,0,18,394.0,92.0,4.0
0.00833988469601677,0,19,300.0,573.0,1081.0
0.00833988469601677,0,21,219.0,1406.0,1989.0
0.00833988469601677,0,1,11.0,-168.0,-716.0
0.00833988469601677,0,2,21.0,-378.0,-1442.0
0.00833988469601677,0,3,-2.0,-660.0,-1973.0
0.00833988469601677,0,26,7.0,-434.0,-2095.0
0.00833988469601677,0,5,574.0,-204.0,-1411.0
0.00833988469601677,0,6,771.0,331.0,-692.0
0.00833988469601677,0,7,738.0,326.0,-48.0
0.00833988469601677,0,12,-545.0,-341.0,-1430.0
0.00833988469601677,0,13,-706.0,152.0,-702.0
0.00833988469601677,0,14,-678.0,217.0,-52.0
0.01667976939203354,0,0,0.0,0.0,0.0
0.01667976939203354,0,22,-411.0,-38.0,2.0
0.01667976939203354,0,23,-291.0,502.0,1074.0
0.01667976939203354,0,25,-227.0,1326.0,1985.0
0.01667976939203354,0,18,395.0,92.0,4.0
0.01667976939203354,0,19,300.0,573.0,1081.0
0.01667976939203354,0,21,218.0,1408.0,1989.0
0.01667976939203354,0,1,12.0,-168.0,-716.0
0.01667976939203354,0,2,21.0,-378.0,-1442.0
0.01667976939203354,0,3,-1.0,-660.0,-1973.0
0.01667976939203354,0,26,7.0,-433.0,-2095.0
0.01667976939203354,0,5,574.0,-204.0,-1411.0
0.01667976939203354,0,6,770.0,333.0,-691.0
0.01667976939203354,0,7,738.0,325.0,-48.0
0.01667976939203354,0,12,-545.0,-341.0,-1430.0
0.01667976939203354,0,13,-706.0,153.0,-702.0
0.01667976939203354,0,14,-679.0,218.0,-51.0
0.025019654088050312,0,0,0.0,0.0,0.0
0.025019654088050312,0,22,-410.0,-38.0,2.0
0.025019654088050312,0,23,-292.0,501.0,1074.0
0.025019654088050312,0,25,-228.0,1326.0,1986.0
0.025019654088050312,0,18,395.0,92.0,4.0
0.025019654088050312,0,19,299.0,573.0,1081.0
0.025019654088050312,0,21,217.0,1409.0,1989.0
0.025019654088050312,0,1,12.0,-168.0,-715.0
0.025019654088050312,0,2,22.0,-378.0,-1443.0
0.025019654088050312,0,3,-1.0,-659.0,-1973.0
0.025019654088050312,0,26,7.0,-432.0,-2096.0
0.025019654088050312,0,5,574.0,-204.0,-1411.0
0.025019654088050312,0,6,769.0,333.0,-691.0
0.025019654088050312,0,7,738.0,325.0,-47.0
0.025019654088050312,0,12,-544.0,-342.0,-1431.0
0.025019654088050312,0,13,-706.0,153.0,-702.0
0.025019654088050312,0,14,-679.0,218.0,-50.0
0.03335953878406708,0,0,0.0,0.0,0.0
0.03335953878406708,0,22,-410.0,-38.0,2.0
0.03335953878406708,0,23,-293.0,500.0,1074.0
0.03335953878406708,0,25,-229.0,1326.0,1986.0
0.03335953878406708,0,18,395.0,92.0,4.0
0.03335953878406708,0,19,299.0,573.0,1081.0
0.03335953878406708,0,21,216.0,1410.0,1988.0
0.03335953878406708,0,1,12.0,-168.0,-716.0
0.03335953878406708,0,2,22.0,-379.0,-1443.0
0.03335953878406708,0,3,0.0,-659.0,-1974.0
0.03335953878406708,0,26,8.0,-432.0,-2096.0
0.03335953878406708,0,5,575.0,-204.0,-1411.0
0.03335953878406708,0,6,768.0,333.0,-690.0
0.03335953878406708,0,7,738.0,324.0,-47.0
0.03335953878406708,0,12,-544.0,-343.0,-1431.0
0.03335953878406708,0,13,-706.0,154.0,-702.0
0.03335953878406708,0,14,-680.0,216.0,-50.0
0.041699423480083854,0,0,0.0,0.0,0.0
0.041699423480083854,0,22,-410.0,-38.0,2.0
0.041699423480083854,0,23,-294.0,499.0,1074.0
0.041699423480083854,0,25,-230.0,1325.0,1986.0
0.041699423480083854,0,18,395.0,91.0,4.0
0.041699423480083854,0,19,299.0,573.0,1081.0
0.041699423480083854,0,21,214.0,1411.0,1988.0
0.041699423480083854,0,1,12.0,-168.0,-715.0
0.041699423480083854,0,2,22.0,-379.0,-1442.0
0.041699423480083854,0,3,0.0,-659.0,-1974.0
0.041699423480083854,0,26,8.0,-432.0,-2096.0
0.041699423480083854,0,5,575.0,-205.0,-1411.0
0.041699423480083854,0,6,767.0,334.0,-691.0
0.041699423480083854,0,7,738.0,323.0,-46.0
0.041699423480083854,0,12,-544.0,-343.0,-1432.0
0.041699423480083854,0,13,-706.0,153.0,-702.0
0.041699423480083854,0,14,-682.0,216.0,-49.0
0.050039308176100625,0,0,0.0,0.0,0.0
0.050039308176100625,0,22,-410.0,-39.0,2.0
0.050039308176100625,0,23,-295.0,498.0,1074.0
