Timestamp,BodyID,Joint_,Position_x_,Position_y_,Position_z_
0,0,0,113,0,7891
0,0,22,-318,6,7893
0,0,23,-332,626,7053
0,0,25,-412,1354,6317
0,0,18,538,40,7881
0,0,19,439,518,7028
0,0,21,341,1558,6318
0,0,1,123,-174,8455
0,0,2,140,-437,9018
0,0,3,123,-733,9424
0,0,26,124,-392,9511
0,0,5,738,-265,8993
0,0,6,946,123,8407
0,0,7,886,101,7893
0,0,12,-461,-248,9008
0,0,13,-642,196,8427
0,0,14,-659,336,7903
0.03335495,0,0,115,-4,7891
0.03335495,0,22,-316,7,7893
0.03335495,0,23,-332,628,7053
0.03335495,0,25,-411,1356,6317
0.03335495,0,18,540,39,7880
0.03335495,0,19,441,520,7027
0.03335495,0,21,341,1563,6318
0.03335495,0,1,127,-173,8455
0.03335495,0,2,145,-434,9018
0.03335495,0,3,129,-730,9424
0.03335495,0,26,130,-389,9511
0.03335495,0,5,743,-263,8992
0.03335495,0,6,952,123,8406
0.03335495,0,7,889,105,7892
0.03335495,0,12,-457,-245,9009
0.03335495,0,13,-638,199,8426
0.03335495,0,14,-656,342,7902
0.066709901,0,0,118,-4,7890
0.066709901,0,22,-314,7,7893
0.066709901,0,23,-333,629,7053
0.066709901,0,25,-412,1358,6317
0.066709901,0,18,544,39,7880
0.066709901,0,19,442,522,7027
0.066709901,0,21,342,1567,6319
0.066709901,0,1,131,-172,8455
0.066709901,0,2,149,-433,9018
0.066709901,0,3,135,-727,9424
0.066709901,0,26,136,-387,9511
0.066709901,0,5,748,-262,8992
0.066709901,0,6,958,122,8405
0.066709901,0,7,893,106,7890
0.066709901,0,12,-453,-243,9009
0.066709901,0,13,-633,202,8426
0.066709901,0,14,-654,345,7901
0.10006485084306097,0,0,121,-4,7890
0.10006485084306097,0,22,-312,8,7893
0.10006485084306097,0,23,-333,630,7053
0.10006485084306097,0,25,-412,1361,6317
0.10006485084306097,0,18,546,38,7879
0.10006485084306097,0,19,444,523,7027
0.10006485084306097,0,21,342,1572,6319
0.10006485084306097,0,1,135,-171,8454
0.10006485084306097,0,2,153,-432,9017
0.10006485084306097,0,3,141,-725,9424
0.10006485084306097,0,26,142,-385,9511
0.10006485084306097,0,5,752,-262,8991
