frame,head_x,head_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,H2_pixels,Z2_feet
88,877.67,384.24,873.6,573.37,-0.13,0.16,189.14,36.45
89,877.74,384.38,869.49,570.65,-0.13,0.16,186.27,37.01
90,877.88,384.31,865.36,570.63,-0.13,0.16,186.31,37.01
91,877.95,383.9,861.07,573.48,-0.13,0.16,189.58,36.37
92,878.04,383.5,856.91,579.3,-0.13,0.16,195.79,35.21
93,878.06,383.15,853.02,587.8,-0.13,0.16,204.65,33.69
94,878.1,382.97,849.1,598.85,-0.13,0.16,215.88,31.94
95,878.03,383.06,845.72,611.91,-0.13,0.16,228.85,30.13
96,877.87,383.73,843.42,624.96,-0.13,0.16,241.22,28.58
97,877.62,384.9,842.07,637.82,-0.13,0.16,252.92,27.26
98,877.3,386.66,841.82,649.36,-0.13,0.16,262.7,26.24
99,876.85,388.78,842.81,658.82,-0.13,0.16,270.04,25.53
100,876.28,390.91,845.22,665.49,-0.14,0.16,274.59,25.11
101,875.65,393.03,848.86,670.25,-0.14,0.16,277.21,24.87
102,874.84,395.18,853.0,675.2,-0.14,0.15,280.01,24.62
103,874.0,397.39,855.9,680.59,-0.14,0.15,283.2,24.35
104,873.05,398.99,857.0,684.0,-0.14,0.15,285.01,24.19
105,871.86,400.05,857.07,685.2,-0.14,0.14,285.15,24.18
106,870.76,400.55,856.96,685.87,-0.14,0.14,285.31,24.17
107,869.71,400.87,857.12,686.88,-0.13,0.14,286.02,24.11
108,868.74,401.0,857.36,687.78,-0.13,0.14,286.78,24.04
109,867.69,400.92,857.6,688.38,-0.13,0.16,287.47,23.98
110,867.01,401.07,858.04,689.16,-0.12,0.17,288.09,23.93
111,866.57,401.47,858.52,689.77,-0.11,0.2,288.3,23.91
112,866.11,402.19,858.99,690.28,-0.1,0.23,288.09,23.93
113,865.74,403.35,859.49,690.83,-0.09,0.26,287.48,23.98
114,865.33,404.96,859.95,691.33,-0.09,0.28,286.37,24.08
115,865.16,407.0,860.37,691.94,-0.08,0.31,284.94,24.2
116,865.05,409.34,860.69,692.37,-0.08,0.33,283.03,24.36
117,865.05,411.95,860.86,692.64,-0.08,0.35,280.69,24.56
118,864.97,414.54,860.87,692.62,-0.09,0.36,278.08,24.79
119,865.12,417.26,860.66,691.91,-0.1,0.37,274.65,25.1
120,865.52,419.78,860.12,690.21,-0.1,0.38,270.42,25.5
121,866.34,422.06,859.11,687.77,-0.11,0.4,265.71,25.95
122,867.18,423.52,857.27,684.45,-0.11,0.4,260.92,26.42
123,868.7,424.5,854.85,679.9,-0.11,0.4,255.4,27.0
124,869.88,425.22,851.94,677.68,-0.11,0.4,252.46,27.31
125,870.84,425.99,849.22,679.23,-0.11,0.41,253.24,27.23
126,871.53,426.6,846.19,683.88,-0.11,0.41,257.28,26.8
127,872.02,426.96,842.87,692.88,-0.11,0.41,265.91,25.93
128,872.7,427.29,839.11,706.4,-0.12,0.41,279.12,24.7
129,873.21,428.19,835.14,725.66,-0.12,0.41,297.47,23.18
130,873.45,429.59,831.63,748.26,-0.12,0.41,318.67,21.64
131,873.5,431.71,828.72,768.66,-0.12,0.41,336.95,20.46
132,873.32,434.13,826.05,787.73,-0.12,0.41,353.6,19.5
133,873.16,437.55,823.84,805.08,-0.12,0.41,367.53,18.76
134,872.69,440.94,823.43,819.71,-0.12,0.41,378.77,18.2
135,872.07,444.17,824.74,832.12,-0.13,0.41,387.96,17.77
136,871.17,447.41,828.44,841.79,-0.13,0.41,394.37,17.48
137,870.16,450.53,832.93,849.65,-0.13,0.41,399.11,17.27
138,868.86,453.31,836.14,856.9,-0.13,0.4,403.59,17.08
139,867.49,455.37,837.86,861.89,-0.13,0.4,406.53,16.96
140,866.23,457.26,838.67,865.19,-0.14,0.39,407.93,16.9
141,864.98,458.69,838.91,866.94,-0.14,0.39,408.25,16.89
142,863.95,459.69,838.92,867.45,-0.14,0.4,407.76,16.91
143,863.17,460.54,838.91,868.22,-0.14,0.4,407.68,16.91
144,862.92,461.22,838.77,868.42,-0.13,0.42,407.19,16.93
145,862.73,462.02,838.55,868.45,-0.13,0.44,406.44,16.96
146,862.7,462.39,838.78,868.87,-0.12,0.48,406.48,16.96
147,862.58,463.02,839.31,869.04,-0.11,0.52,406.02,16.98
148,862.48,463.99,839.7,869.36,-0.1,0.56,405.37,17.01
149,862.63,465.39,840.01,868.79,-0.08,0.61,403.4,17.09
150,863.16,467.22,840.07,868.03,-0.07,0.65,400.81,17.2
151,863.99,469.39,839.7,867.64,-0.07,0.68,398.25,17.31
152,865.47,473.26,839.04,866.18,-0.07,0.71,392.92,17.55
153,867.81,477.51,836.95,863.5,-0.08,0.74,386.0,17.86
154,871.22,482.43,833.56,859.64,-0.1,0.77,377.21,18.28
155,875.44,487.95,828.47,856.42,-0.11,0.79,368.47,18.71
156,879.93,493.58,822.87,855.51,-0.12,0.8,361.93,19.05
157,884.87,497.09,816.75,855.36,-0.12,0.8,358.27,19.24
158,890.33,499.51,808.5,854.98,-0.12,0.8,355.47,19.4
159,896.2,501.6,799.75,855.94,-0.12,0.8,354.34,19.46
160,902.45,502.8,792.24,860.09,-0.12,0.8,357.3,19.3
161,908.88,501.81,786.65,867.8,-0.12,0.8,365.99,18.84
162,914.98,499.25,784.14,880.95,-0.13,0.8,381.7,18.06
163,920.53,497.46,787.88,898.0,-0.13,0.8,400.54,17.21
164,925.41,495.96,799.14,920.15,-0.13,0.8,424.19,16.25
165,929.49,495.56,819.45,942.21,-0.13,0.8,446.65,15.44
166,932.83,495.37,854.75,970.39,-0.14,0.8,475.01,14.51
167,936.47,496.84,886.09,991.32,-0.14,0.8,494.48,13.94
168,939.56,499.52,917.64,1008.74,-0.14,0.81,509.22,13.54
169,942.34,501.88,944.43,1021.18,-0.14,0.81,519.31,13.28
170,944.68,502.29,963.75,1031.15,-0.14,0.81,528.86,13.04
171,947.14,503.59,972.0,1037.7,-0.14,0.82,534.11,12.91
172,949.11,503.43,976.01,1043.38,-0.13,0.82,539.95,12.77
173,951.33,503.95,977.85,1049.57,-0.12,0.82,545.63,12.64
174,951.7,502.19,977.95,1048.89,-0.11,0.82,546.7,12.61
175,952.35,500.88,978.52,1050.26,-0.1,0.82,549.38,12.55
176,953.42,500.34,979.13,1054.28,-0.08,0.82,553.94,12.45
177,954.41,499.76,978.9,1053.79,-0.06,0.82,554.03,12.44
178,955.92,499.21,978.1,1054.23,-0.04,0.82,555.02,12.42
179,958.35,498.76,977.66,1055.16,-0.02,0.82,556.39,12.39
180,960.61,498.3,977.02,1055.08,-0.0,0.82,556.78,12.38
181,964.34,497.84,975.48,1053.62,0.01,0.81,555.79,12.41
182,968.28,497.39,975.29,1053.73,0.02,0.8,556.33,12.39
183,972.0,497.43,975.45,1051.1,0.02,0.78,553.67,12.45
184,976.13,497.59,976.09,1050.33,0.02,0.77,552.74,12.47
185,979.36,497.69,977.01,1047.38,0.01,0.75,549.69,12.54
186,982.19,497.3,978.65,1043.07,0.01,0.74,545.77,12.63
187,984.41,497.07,980.14,1042.25,0.0,0.73,545.18,12.65
188,986.49,496.93,982.39,1037.97,0.0,0.71,541.04,12.74
189,988.23,497.41,984.23,1027.54,0.0,0.71,530.12,13.01
190,989.04,496.79,987.13,1029.69,0.0,0.71,532.9,12.94
191,989.64,495.75,992.1,1018.78,0.01,0.7,523.03,13.18
192,989.44,494.22,998.76,1012.82,0.01,0.7,518.6,13.29
193,988.4,492.46,1009.34,993.62,0.01,0.7,501.16,13.76
194,987.52,490.73,1017.61,975.61,0.02,0.7,484.88,14.22
195,986.18,488.08,1025.43,951.59,0.02,0.7,463.51,14.87
196,985.12,484.39,1030.68,926.67,0.02,0.7,442.28,15.59
197,984.28,480.14,1034.11,905.53,0.02,0.69,425.4,16.21
198,983.46,476.48,1035.49,888.19,0.02,0.69,411.72,16.75
199,983.57,473.24,1035.79,874.27,0.02,0.68,401.03,17.19
200,983.49,469.35,1035.46,863.17,0.02,0.68,393.82,17.51
201,983.49,466.79,1034.54,853.73,0.02,0.67,386.94,17.82
202,983.56,466.01,1033.1,845.92,0.02,0.66,379.91,18.15
203,983.97,465.31,1031.18,839.43,0.02,0.66,374.12,18.43
204,984.21,465.33,1028.6,831.85,0.02,0.65,366.52,18.81
205,984.42,465.45,1025.54,821.72,0.03,0.65,356.27,19.35
206,984.73,464.8,1021.65,810.74,0.03,0.65,345.94,19.93
207,985.11,464.48,1016.3,803.52,0.03,0.64,339.04,20.34
208,985.61,463.99,1010.41,800.18,0.03,0.64,336.19,20.51
209,986.14,462.92,1005.6,799.42,0.03,0.62,336.49,20.49
210,986.73,461.23,1002.7,799.11,0.03,0.6,337.88,20.41
211,987.17,458.43,1001.59,797.85,0.02,0.57,339.42,20.31
212,987.68,455.72,1001.11,795.88,0.02,0.53,340.16,20.27
213,987.99,452.9,1000.96,793.95,0.01,0.49,341.06,20.22
